3-куча,1,0,"[1, 1000000]",0.00
15-куча,1,0,"[1, 1000000]",0.00
3-куча,251,6300,"[1, 1000000]",0.02
15-куча,251,6300,"[1, 1000000]",0.01
3-куча,501,25100,"[1, 1000000]",0.08
15-куча,501,25100,"[1, 1000000]",0.02
3-куча,751,56400,"[1, 1000000]",0.17
15-куча,751,56400,"[1, 1000000]",0.03
3-куча,1001,100200,"[1, 1000000]",0.32
15-куча,1001,100200,"[1, 1000000]",0.05
3-куча,1251,156500,"[1, 1000000]",0.49
15-куча,1251,156500,"[1, 1000000]",0.06
3-куча,1501,225300,"[1, 1000000]",0.74
15-куча,1501,225300,"[1, 1000000]",0.09
3-куча,1751,306600,"[1, 1000000]",0.96
15-куча,1751,306600,"[1, 1000000]",0.11
3-куча,2001,400400,"[1, 1000000]",1.29
15-куча,2001,400400,"[1, 1000000]",0.14
3-куча,2251,506700,"[1, 1000000]",1.68
15-куча,2251,506700,"[1, 1000000]",0.16
3-куча,2501,625500,"[1, 1000000]",2.09
15-куча,2501,625500,"[1, 1000000]",0.18
3-куча,2751,756800,"[1, 1000000]",2.61
15-куча,2751,756800,"[1, 1000000]",0.26
3-куча,3001,900600,"[1, 1000000]",3.20
15-куча,3001,900600,"[1, 1000000]",0.28
3-куча,3251,1056900,"[1, 1000000]",3.99
15-куча,3251,1056900,"[1, 1000000]",0.47
3-куча,3501,1225700,"[1, 1000000]",3.93
15-куча,3501,1225700,"[1, 1000000]",0.32
3-куча,3751,1407000,"[1, 1000000]",4.61
15-куча,3751,1407000,"[1, 1000000]",0.38
3-куча,4001,1600800,"[1, 1000000]",5.45
15-куча,4001,1600800,"[1, 1000000]",0.42
3-куча,4251,1807100,"[1, 1000000]",6.19
15-куча,4251,1807100,"[1, 1000000]",0.50
3-куча,4501,2025900,"[1, 1000000]",7.05
15-куча,4501,2025900,"[1, 1000000]",0.56
3-куча,4751,2257200,"[1, 1000000]",7.36
15-куча,4751,2257200,"[1, 1000000]",0.49
3-куча,5001,2501000,"[1, 1000000]",8.20
15-куча,5001,2501000,"[1, 1000000]",0.58
3-куча,5251,2757300,"[1, 1000000]",9.32
15-куча,5251,2757300,"[1, 1000000]",0.67
3-куча,5501,3026100,"[1, 1000000]",10.20
15-куча,5501,3026100,"[1, 1000000]",0.70
3-куча,5751,3307400,"[1, 1000000]",11.48
15-куча,5751,3307400,"[1, 1000000]",0.78
3-куча,6001,3601200,"[1, 1000000]",12.87
15-куча,6001,3601200,"[1, 1000000]",0.82
3-куча,6251,3907500,"[1, 1000000]",14.87
15-куча,6251,3907500,"[1, 1000000]",1.063-куча,6501,4226300,"[1, 1000000]",15.68
