3-куча,{1},{1000},"[{1}, {1000000}]",0.00
15-куча,{1},{1000},"[{1}, {1000000}]",0.00
3-куча,{251},{251000},"[{1}, {1000000}]",0.02
15-куча,{251},{251000},"[{1}, {1000000}]",0.01
3-куча,{501},{501000},"[{1}, {1000000}]",0.08
15-куча,{501},{501000},"[{1}, {1000000}]",0.01
3-куча,{751},{751000},"[{1}, {1000000}]",0.18
15-куча,{751},{751000},"[{1}, {1000000}]",0.03
3-куча,{1001},{1001000},"[{1}, {1000000}]",0.39
15-куча,{1001},{1001000},"[{1}, {1000000}]",0.06
3-куча,{1251},{1251000},"[{1}, {1000000}]",0.55
15-куча,{1251},{1251000},"[{1}, {1000000}]",0.08
3-куча,{1501},{1501000},"[{1}, {1000000}]",0.90
15-куча,{1501},{1501000},"[{1}, {1000000}]",0.09
3-куча,{1751},{1751000},"[{1}, {1000000}]",1.05
15-куча,{1751},{1751000},"[{1}, {1000000}]",0.11
3-куча,{2001},{2001000},"[{1}, {1000000}]",1.38
15-куча,{2001},{2001000},"[{1}, {1000000}]",0.13
3-куча,{2251},{2251000},"[{1}, {1000000}]",1.78
15-куча,{2251},{2251000},"[{1}, {1000000}]",0.16
3-куча,{2501},{2501000},"[{1}, {1000000}]",2.51
15-куча,{2501},{2501000},"[{1}, {1000000}]",0.28
3-куча,{2751},{2751000},"[{1}, {1000000}]",3.95
15-куча,{2751},{2751000},"[{1}, {1000000}]",0.41
3-куча,{3001},{3001000},"[{1}, {1000000}]",4.28
